CustomerID,Recency,Frequency,Revenue,RecencyCluster,FrequencyCluster,MonetaryCluster,OverallScore,segment
17850.0,301,312,5288.63,0,1,0,1,Low-Value
14688.0,7,359,5107.38,2,1,0,3,Mid-Value
14527.0,2,1011,7711.38,2,1,0,3,Mid-Value
13408.0,1,501,27487.41,2,1,0,3,Mid-Value
13767.0,1,399,16945.71,2,1,0,3,Mid-Value
15513.0,30,314,14520.08,2,1,0,3,Mid-Value
17920.0,3,696,4204.1,2,1,0,3,Mid-Value
14849.0,21,392,7904.28,2,1,0,3,Mid-Value
17377.0,23,419,3925.92,2,1,0,3,Mid-Value
12433.0,0,420,13375.87,2,1,0,3,Mid-Value
12472.0,30,391,6229.48,2,1,0,3,Mid-Value
17346.0,3,503,2611.58,2,1,0,3,Mid-Value
12921.0,3,741,16389.74,2,1,0,3,Mid-Value
13468.0,1,306,5656.75,2,1,0,3,Mid-Value
14606.0,0,2782,11713.85,2,1,0,3,Mid-Value
15752.0,39,412,2628.93,2,1,0,3,Mid-Value
12471.0,1,531,18740.92,2,1,0,3,Mid-Value
15601.0,10,414,6745.36,2,1,0,3,Mid-Value
13418.0,11,314,5845.44,2,1,0,3,Mid-Value
18041.0,11,474,4161.14,2,1,0,3,Mid-Value
14390.0,9,291,4592.47,2,1,0,3,Mid-Value
17581.0,0,452,10736.11,2,1,0,3,Mid-Value
15640.0,3,495,12433.34,2,1,0,3,Mid-Value
12971.0,3,308,10930.26,2,1,0,3,Mid-Value
17757.0,0,742,5585.49,2,1,0,3,Mid-Value
14395.0,1,353,3471.91,2,1,0,3,Mid-Value
12841.0,4,439,3876.4,2,1,0,3,Mid-Value
14680.0,24,320,26932.34,2,1,0,3,Mid-Value
12682.0,3,525,12288.22,2,1,0,3,Mid-Value
17954.0,4,489,2295.37,2,1,0,3,Mid-Value
17238.0,2,566,3744.65,2,1,0,3,Mid-Value
13081.0,0,1061,27964.48,2,1,0,3,Mid-Value
